week,officialDate,Away,Home,player_name,BetTimeStamp,proj_receivingYards,proj_receivingReceptions,proj_rushingTouchdowns,proj_passingInterceptions,proj_passingAttempts,proj_passingCompletions,proj_passingYards,proj_rushingAttempts,proj_rushingYards,proj_passingTouchdowns,proj_receivingTouchdowns
1,2025-09-07,Pittsburgh Steelers,New York Jets,Pat Freiermuth,2025-09-07T08:35:34.754077,25.808750160015762,3.217500079829096,,,,,,,,,
1,2025-09-07,San Francisco 49ers,Seattle Seahawks,Brock Purdy,2025-09-07T08:35:50.620089,,,,0.4547500151247089,25.184247984639924,17.92025005711389,232.20298056543638,3.8447499697034937,13.225000985525538,1.4129998817369354,
1,2025-09-07,San Francisco 49ers,Seattle Seahawks,Christian McCaffrey,2025-09-07T08:35:50.620931,27.8464986954124,4.173749786796801,,,,,,15.275250629189035,59.43675071719714,,
1,2025-09-07,San Francisco 49ers,Seattle Seahawks,Cooper Kupp,2025-09-07T08:35:50.621575,37.537500107280906,3.988249811380663,,,,,,,,,
1,2025-09-07,San Francisco 49ers,Seattle Seahawks,George Kittle,2025-09-07T08:35:50.622239,64.5,6.034499966601132,,,,,,,,,
1,2025-09-07,San Francisco 49ers,Seattle Seahawks,Jaxon Smith-Njigba,2025-09-07T08:35:50.622862,60.5,5.865749948394836,,,,,,,,,
1,2025-09-07,San Francisco 49ers,Seattle Seahawks,Kenneth Walker,2025-09-07T08:35:50.623679,,,,,,,,,68.08050067551254,,
1,2025-09-07,San Francisco 49ers,Seattle Seahawks,Kenneth Walker III,2025-09-07T08:35:50.623384,,,,,,,,16.40675067579563,,,
1,2025-09-07,San Francisco 49ers,Seattle Seahawks,Sam Darnold,2025-09-07T08:35:50.625160,,,,0.4607500055596678,33.615248410208444,22.220248949120837,227.48850225720042,2.91624999335885,8.5,0.9652500386470555,
1,2025-09-07,San Francisco 49ers,Seattle Seahawks,Zach Charbonnet,2025-09-07T08:35:50.625826,,,,,,,,7.682999820300974,27.78899767415973,,
